Freq.,Vout
1.25892541179416e+003,-1.67163827264084e-002,1.73117004293930e+002
1.26182753459066e+003,-1.67050083342089e-002,1.73101125962835e+002
1.26473634747115e+003,-1.66935818884048e-002,1.73085210949499e+002
1.26765186585784e+003,-1.66821031529265e-002,1.73069259168816e+002
1.27057410520854e+003,-1.66705718905379e-002,1.73053270535476e+002
1.27350308101666e+003,-1.66589878631208e-002,1.73037244963972e+002
1.27643880881134e+003,-1.66473508313063e-002,1.73021182368593e+002
1.27938130415752e+003,-1.66356605547991e-002,1.73005082663431e+002
1.28233058265601e+003,-1.66239167921633e-002,1.72988945762371e+002
1.28528665994361e+003,-1.66121193009179e-002,1.72972771579098e+002
1.28824955169313e+003,-1.66002678374904e-002,1.72956560027095e+002
1.29121927361353e+003,-1.65883621572510e-002,1.72940311019640e+002
1.29419584144998e+003,-1.65764020144426e-002,1.72924024469807e+002
1.29717927098395e+003,-1.65643871622216e-002,1.72907700290467e+002
1.30016957803328e+003,-1.65523173526996e-002,1.72891338394285e+002
1.30316677845229e+003,-1.65401923368301e-002,1.72874938693720e+002
1.30617088813183e+003,-1.65280118644717e-002,1.72858501101027e+002
1.30918192299940e+003,-1.65157756843887e-002,1.72842025528254e+002
1.31219989901920e+003,-1.65034835441893e-002,1.72825511887241e+002
1.31522483219223e+003,-1.64911351904567e-002,1.72808960089620e+002
1.31825673855640e+003,-1.64787303685027e-002,1.72792370046818e+002
1.32129563418657e+003,-1.64662688226546e-002,1.72775741670051e+002
1.32434153519466e+003,-1.64537502960025e-002,1.72759074870327e+002
1.32739445772973e+003,-1.64411745305514e-002,1.72742369558444e+002
1.33045441797808e+003,-1.64285412671193e-002,1.72725625644991e+002
1.33352143216332e+003,-1.64158502454451e-002,1.72708843040346e+002
1.33659551654643e+003,-1.64031012040305e-002,1.72692021654676e+002
1.33967668742593e+003,-1.63902938802680e-002,1.72675161397935e+002
1.34276496113786e+003,-1.63774280103877e-002,1.72658262179868e+002
1.34586035405594e+003,-1.63645033294118e-002,1.72641323910004e+002
1.34896288259165e+003,-1.63515195712348e-002,1.72624346497663e+002
1.35207256319427e+003,-1.63384764685329e-002,1.72607329851948e+002
1.35518941235103e+003,-1.63253737528295e-002,1.72590273881748e+002
1.35831344658715e+003,-1.63122111544435e-002,1.72573178495740e+002
1.36144468246594e+003,-1.62989884024971e-002,1.72556043602383e+002
1.36458313658892e+003,-1.62857052249460e-002,1.72538869109923e+002
1.36772882559584e+003,-1.62723613484818e-002,1.72521654926386e+002
1.37088176616484e+003,-1.62589564986352e-002,1.72504400959584e+002
1.37404197501251e+003,-1.62454903997057e-002,1.72487107117112e+002
1.37720946889394e+003,-1.62319627747712e-002,1.72469773306346e+002
1.38038426460288e+003,-1.62183733457095e-002,1.72452399434444e+002
1.38356637897177e+003,-1.62047218331436e-002,1.72434985408345e+002
1.38675582887188e+003,-1.61910079564496e-002,1.72417531134768e+002
1.38995263121334e+003,-1.61772314337920e-002,1.72400036520213e+002
1.39315680294529e+003,-1.61633919820866e-002,1.72382501470958e+002
1.39636836105593e+003,-1.61494893169799e-002,1.72364925893063e+002
1.39958732257261e+003,-1.61355231528994e-002,1.72347309692363e+002
1.40281370456195e+003,-1.61214932029667e-002,1.72329652774473e+002
1.40604752412990e+003,-1.61073991790481e-002,1.72311955044783e+002
1.40928879842186e+003,-1.60932407917548e-002,1.72294216408463e+002
1.41253754462274e+003,-1.60790177504275e-002,1.72276436770456e+002
1.41579377995707e+003,-1.60647297631308e-002,1.72258616035483e+002
1.41905752168908e+003,-1.60503765365900e-002,1.72240754108039e+002
1.42232878712281e+003,-1.60359577762709e-002,1.72222850892393e+002
1.42560759360218e+003,-1.60214731863791e-002,1.72204906292590e+002
1.42889395851109e+003,-1.60069224697104e-002,1.72186920212445e+002
1.43218789927353e+003,-1.59923053278833e-002,1.72168892555550e+002
1.43548943335364e+003,-1.59776214611212e-002,1.72150823225266e+002
1.43879857825583e+003,-1.59628705683408e-002,1.72132712124728e+002
1.44211535152486e+003,-1.59480523471330e-002,1.72114559156840e+002
1.44543977074592e+003,-1.59331664937420e-002,1.72096364224278e+002
1.44877185354475e+003,-1.59182127031362e-002,1.72078127229488e+002
1.45211161758773e+003,-1.59031906688755e-002,1.72059848074686e+002
1.45545908058195e+003,-1.58881000831971e-002,1.72041526661854e+002
1.45881426027534e+003,-1.58729406369960e-002,1.72023162892747e+002
1.46217717445671e+003,-1.58577120197799e-002,1.72004756668883e+002
1.46554784095590e+003,-1.58424139197262e-002,1.71986307891551e+002
1.46892627764385e+003,-1.58270460236348e-002,1.71967816461804e+002
1.47231250243271e+003,-1.58116080168725e-002,1.71949282280463e+002
1.47570653327588e+003,-1.57960995835083e-002,1.71930705248112e+002
1.47910838816819e+003,-1.57805204062061e-002,1.71912085265103e+002
1.48251808514594e+003,-1.57648701661609e-002,1.71893422231549e+002
1.48593564228699e+003,-1.57491485432848e-002,1.71874716047329e+002
1.48936107771090e+003,-1.57333552159617e-002,1.71855966612085e+002
1.49279440957898e+003,-1.57174898612794e-002,1.71837173825220e+002
1.49623565609442e+003,-1.57015521548711e-002,1.71818337585900e+002
1.49968483550236e+003,-1.56855417708881e-002,1.71799457793052e+002
1.50314196609001e+003,-1.56694583821144e-002,1.71780534345364e+002
1.50660706618673e+003,-1.56533016598969e-002,1.71761567141284e+002
1.51008015416413e+003,-1.56370712741451e-002,1.71742556079020e+002
1.51356124843619e+003,-1.56207668933096e-002,1.71723501056539e+002
1.51705036745932e+003,-1.56043881843614e-002,1.71704401971564e+002
1.52054752973248e+003,-1.55879348128634e-002,1.71685258721580e+002
1.52405275379728e+003,-1.55714064428897e-002,1.71666071203825e+002
1.52756605823806e+003,-1.55548027370588e-002,1.71646839315295e+002
1.53108746168201e+003,-1.55381233564833e-002,1.71627562952745e+002
1.53461698279928e+003,-1.55213679608512e-002,1.71608242012680e+002
1.53815464030302e+003,-1.55045362082970e-002,1.71588876391363e+002
1.54170045294954e+003,-1.54876277554847e-002,1.71569465984810e+002
1.54525443953840e+003,-1.54706422575906e-002,1.71550010688792e+002
1.54881661891247e+003,-1.54535793682992e-002,1.71530510398832e+002
1.55238700995807e+003,-1.54364387397502e-002,1.71510965010203e+002
1.55596563160506e+003,-1.54192200225763e-002,1.71491374417934e+002
1.55955250282694e+003,-1.54019228658899e-002,1.71471738516801e+002
1.56314764264094e+003,-1.53845469172527e-002,1.71452057201333e+002
1.56675107010813e+003,-1.53670918227052e-002,1.71432330365808e+002
1.57036280433354e+003,-1.53495572267570e-002,1.71412557904253e+002
1.57398286446620e+003,-1.53319427723633e-002,1.71392739710442e+002
1.57761126969933e+003,-1.53142481009176e-002,1.71372875677901e+002
1.58124803927037e+003,-1.52964728522171e-002,1.71352965699899e+002
1.58489319246110e+003,-1.52786166645482e-002,1.71333009669453e+002
1.58854674859776e+003,-1.52606791745874e-002,1.71313007479328e+002
1.59220872705115e+003,-1.52426600174400e-002,1.71292959022031e+002
1.59587914723672e+003,-1.52245588266324e-002,1.71272864189816e+002
1.59955802861465e+003,-1.52063752340705e-002,1.71252722874681e+002
1.60324539069002e+003,-1.51881088701045e-002,1.71232534968366e+002
1.60694125301286e+003,-1.51697593633996e-002,1.71212300362356e+002
1.61064563517825e+003,-1.51513263410809e-002,1.71192018947875e+002
1.61435855682647e+003,-1.51328094286446e-002,1.71171690615892e+002
1.61808003764305e+003,-1.51142082499473e-002,1.71151315257114e+002
1.62181009735891e+003,-1.50955224271773e-002,1.71130892761990e+002
1.62554875575047e+003,-1.50767515809300e-002,1.71110423020708e+002
1.62929603263970e+003,-1.50578953301457e-002,1.71089905923195e+002
1.63305194789432e+003,-1.50389532921159e-002,1.71069341359115e+002
1.63681652142779e+003,-1.50199250824352e-002,1.71048729217871e+002
1.64058977319952e+003,-1.50008103150653e-002,1.71028069388603e+002
1.64437172321491e+003,-1.49816086022926e-002,1.71007361760187e+002
1.64816239152549e+003,-1.49623195547273e-002,1.70986606221233e+002
1.65196179822900e+003,-1.49429427812907e-002,1.70965802660089e+002
1.65576996346951e+003,-1.49234778891567e-002,1.70944950964834e+002
1.65958690743754e+003,-1.49039244839157e-002,1.70924051023283e+002
1.66341265037015e+003,-1.48842821693375e-002,1.70903102722983e+002
1.66724721255104e+003,-1.48645505475339e-002,1.70882105951213e+002
1.67109061431069e+003,-1.48447292189034e-002,1.70861060594984e+002
1.67494287602642e+003,-1.48248177820844e-002,1.70839966541037e+002
1.67880401812254e+003,-1.48048158339928e-002,1.70818823675845e+002
1.68267406107045e+003,-1.47847229698051e-002,1.70797631885608e+002
1.68655302538872e+003,-1.47645387829690e-002,1.70776391056257e+002
1.69044093164324e+003,-1.47442628651572e-002,1.70755101073450e+002
1.69433780044731e+003,-1.47238948062876e-002,1.70733761822574e+002
1.69824365246172e+003,-1.47034341944802e-002,1.70712373188740e+002
1.70215850839493e+003,-1.46828806161203e-002,1.70690935056788e+002
1.70608238900310e+003,-1.46622336557918e-002,1.70669447311281e+002
1.71001531509027e+003,-1.46414928963004e-002,1.70647909836508e+002
1.71395730750840e+003,-1.46206579186371e-002,1.70626322516482e+002
1.71790838715757e+003,-1.45997283020082e-002,1.70604685234938e+002
1.72186857498598e+003,-1.45787036237619e-002,1.70582997875336e+002
1.72583789199018e+003,-1.45575834594926e-002,1.70561260320856e+002
1.72981635921508e+003,-1.45363673829434e-002,1.70539472454399e+002
1.73380399775412e+003,-1.45150549660008e-002,1.70517634158588e+002
1.73780082874935e+003,-1.44936457787570e-002,1.70495745315764e+002
1.74180687339159e+003,-1.44721393894019e-002,1.70473805807988e+002
1.74582215292048e+003,-1.44505353643327e-002,1.70451815517040e+002
1.74984668862463e+003,-1.44288332680058e-002,1.70429774324416e+002
1.75388050184174e+003,-1.44070326631050e-002,1.70407682111329e+002
1.75792361395867e+003,-1.43851331103562e-002,1.70385538758711e+002
1.76197604641161e+003,-1.43631341686590e-002,1.70363344147205e+002
1.76603782068614e+003,-1.43410353949762e-002,1.70341098157173e+002
1.77010895831740e+003,-1.43188363443855e-002,1.70318800668688e+002
1.77418948089014e+003,-1.42965365700814e-002,1.70296451561537e+002
1.77827941003890e+003,-1.42741356233519e-002,1.70274050715220e+002
1.78237876744807e+003,-1.42516330534774e-002,1.70251598008949e+002
1.78648757485203e+003,-1.42290284079431e-002,1.70229093321647e+002
1.79060585403527e+003,-1.42063212321997e-002,1.70206536531945e+002
1.79473362683250e+003,-1.41835110697841e-002,1.70183927518188e+002
1.79887091512876e+003,-1.41605974623118e-002,1.70161266158427e+002
1.80301774085954e+003,-1.41375799493494e-002,1.70138552330420e+002
1.80717412601090e+003,-1.41144580686253e-002,1.70115785911634e+002
1.81134009261958e+003,-1.40912313557836e-002,1.70092966779244e+002
1.81551566277311e+003,-1.40678993445714e-002,1.70070094810128e+002
1.81970085860996e+003,-1.40444615666979e-002,1.70047169880871e+002
1.82389570231961e+003,-1.40209175518953e-002,1.70024191867761e+002
1.82810021614272e+003,-1.39972668278330e-002,1.70001160646791e+002
1.83231442237119e+003,-1.39735089202820e-002,1.69978076093655e+002
1.83653834334832e+003,-1.39496433529061e-002,1.69954938083751e+002
1.84077200146893e+003,-1.39256696473817e-002,1.69931746492178e+002
1.84501541917945e+003,-1.39015873233317e-002,1.69908501193733e+002
1.84926861897805e+003,-1.38773958983281e-002,1.69885202062916e+002
1.85353162341478e+003,-1.38530948879288e-002,1.69861848973925e+002
1.85780445509167e+003,-1.38286838055986e-002,1.69838441800654e+002
1.86208713666284e+003,-1.38041621627384e-002,1.69814980416698e+002
1.86637969083464e+003,-1.37795294687138e-002,1.69791464695347e+002
1.87068214036577e+003,-1.37547852307622e-002,1.69767894509585e+002
1.87499450806739e+003,-1.37299289540511e-002,1.69744269732094e+002
1.87931681680324e+003,-1.37049601416458e-002,1.69720590235249e+002
1.88364908948977e+003,-1.36798782945239e-002,1.69696855891118e+002
1.88799134909627e+003,-1.36546829115203e-002,1.69673066571464e+002
1.89234361864495e+003,-1.36293734893620e-002,1.69649222147738e+002
1.89670592121112e+003,-1.36039495226798e-002,1.69625322491086e+002
1.90107827992327e+003,-1.35784105038947e-002,1.69601367472342e+002
1.90546071796322e+003,-1.35527559233500e-002,1.69577356962030e+002
1.90985325856621e+003,-1.35269852691857e-002,1.69553290830363e+002
1.91425592502106e+003,-1.35010980274079e-002,1.69529168947242e+002
1.91866874067026e+003,-1.34750936818687e-002,1.69504991182255e+002
1.92309172891013e+003,-1.34489717141885e-002,1.69480757404675e+002
1.92752491319091e+003,-1.34227316038733e-002,1.69456467483464e+002
1.93196831701689e+003,-1.33963728281682e-002,1.69432121287264e+002
1.93642196394658e+003,-1.33698948621652e-002,1.69407718684404e+002
1.94088587759275e+003,-1.33432971787011e-002,1.69383259542896e+002
1.94536008162263e+003,-1.33165792484208e-002,1.69358743730432e+002
1.94984459975802e+003,-1.32897405397574e-002,1.69334171114387e+002
1.95433945577536e+003,-1.32627805188882e-002,1.69309541561817e+002
1.95884467350596e+003,-1.32356986497246e-002,1.69284854939457e+002
1.96336027683602e+003,-1.32084943939850e-002,1.69260111113720e+002
1.96788628970681e+003,-1.31811672110451e-002,1.69235309950698e+002
1.97242273611482e+003,-1.31537165581242e-002,1.69210451316161e+002
1.97696964011183e+003,-1.31261418900436e-002,1.69185535075554e+002
1.98152702580507e+003,-1.30984426594507e-002,1.69160561093998e+002
1.98609491735734e+003,-1.30706183165787e-002,1.69135529236288e+002
1.99067333898715e+003,-1.30426683094826e-002,1.69110439366895e+002
1.99526231496885e+003,-1.30145920838165e-002,1.69085291349959e+002
1.99986186963271e+003,-1.29863890829825e-002,1.69060085049297e+002
2.00447202736513e+003,-1.29580587479926e-002,1.69034820328394e+002
2.00909281260870e+003,-1.29296005175684e-002,1.69009497050406e+002
2.01372424986236e+003,-1.29010138280647e-002,1.68984115078158e+002
2.01836636368153e+003,-1.28722981134740e-002,1.68958674274146e+002
2.02301917867824e+003,-1.28434528054818e-002,1.68933174500531e+002
2.02768271952125e+003,-1.28144773333401e-002,1.68907615619142e+002
2.03235701093619e+003,-1.27853711239327e-002,1.68881997491475e+002
2.03704207770568e+003,-1.27561336018160e-002,1.68856319978690e+002
2.04173794466950e+003,-1.27267641890733e-002,1.68830582941612e+002
2.04644463672464e+003,-1.26972623054289e-002,1.68804786240729e+002
2.05116217882553e+003,-1.26676273681778e-002,1.68778929736190e+002
2.05589059598411e+003,-1.26378587922099e-002,1.68753013287810e+002
2.06062991326997e+003,-1.26079559899259e-002,1.68727036755060e+002
2.06538015581049e+003,-1.25779183714060e-002,1.68700999997074e+002
2.07014134879101e+003,-1.25477453441574e-002,1.68674902872643e+002
2.07491351745487e+003,-1.25174363133147e-002,1.68648745240217e+002
2.07969668710366e+003,-1.24869906814817e-002,1.68622526957904e+002
2.08449088309725e+003,-1.24564078488818e-002,1.68596247883467e+002
2.08929613085400e+003,-1.24256872131326e-002,1.68569907874324e+002
2.09411245585086e+003,-1.23948281694755e-002,1.68543506787548e+002
2.09893988362349e+003,-1.23638301105965e-002,1.68517044479867e+002
2.10377843976644e+003,-1.23326924266660e-002,1.68490520807660e+002
2.10862814993325e+003,-1.23014145053434e-002,1.68463935626957e+002
2.11348903983661e+003,-1.22699957317640e-002,1.68437288793440e+002
2.11836113524846e+003,-1.22384354885410e-002,1.68410580162442e+002
2.12324446200018e+003,-1.22067331557494e-002,1.68383809588942e+002
2.12813904598267e+003,-1.21748881108609e-002,1.68356976927569e+002
2.13304491314654e+003,-1.21428997288502e-002,1.68330082032598e+002
2.13796208950219e+003,-1.21107673820822e-002,1.68303124757953e+002
2.14289060112002e+003,-1.20784904403216e-002,1.68276104957198e+002
2.14783047413050e+003,-1.20460682708078e-002,1.68249022483546e+002
2.15278173472433e+003,-1.20135002381270e-002,1.68221877189851e+002
2.15774440915263e+003,-1.19807857042750e-002,1.68194668928610e+002
2.16271852372698e+003,-1.19479240286447e-002,1.68167397551961e+002
2.16770410481966e+003,-1.19149145680129e-002,1.68140062911683e+002
2.17270117886370e+003,-1.18817566764641e-002,1.68112664859194e+002
2.17770977235312e+003,-1.18484497055037e-002,1.68085203245550e+002
2.18272991184296e+003,-1.18149930039469e-002,1.68057677921445e+002
2.18776162394951e+003,-1.17813859179771e-002,1.68030088737212e+002
2.19280493535041e+003,-1.17476277910793e-002,1.68002435542815e+002
2.19785987278478e+003,-1.17137179640798e-002,1.67974718187856e+002
2.20292646305342e+003,-1.16796557751290e-002,1.67946936521570e+002
2.20800473301886e+003,-1.16454405596253e-002,1.67919090392824e+002
2.21309470960560e+003,-1.16110716503083e-002,1.67891179650118e+002
2.21819641980018e+003,-1.15765483772264e-002,1.67863204141581e+002
2.22330989065136e+003,-1.15418700676293e-002,1.67835163714973e+002
2.22843514927026e+003,-1.15070360460698e-002,1.67807058217682e+002
2.23357222283049e+003,-1.14720456343878e-002,1.67778887496725e+002
2.23872113856830e+003,-1.14368981516204e-002,1.67750651398744e+002
2.24388192378272e+003,-1.14015929140558e-002,1.67722349770008e+002
2.24905460583574e+003,-1.13661292352663e-002,1.67693982456410e+002
2.25423921215239e+003,-1.13305064259658e-002,1.67665549303467e+002
2.25943577022093e+003,-1.12947237941053e-002,1.67637050156319e+002
2.26464430759302e+003,-1.12587806448840e-002,1.67608484859728e+002
2.26986485188378e+003,-1.12226762806429e-002,1.67579853258076e+002
2.27509743077203e+003,-1.11864100008933e-002,1.67551155195365e+002
2.28034207200037e+003,-1.11499811024031e-002,1.67522390515215e+002
2.28559880337539e+003,-1.11133888790079e-002,1.67493559060863e+002
2.29086765276773e+003,-1.10766326217570e-002,1.67464660675166e+002
2.29614864811232e+003,-1.10397116188463e-002,1.67435695200593e+002
2.30144181740846e+003,-1.10026251555735e-002,1.67406662479229e+002
2.30674718872002e+003,-1.09653725144134e-002,1.67377562352772e+002
2.31206479017555e+003,-1.09279529749031e-002,1.67348394662532e+002
2.31739464996843e+003,-1.08903658137440e-002,1.67319159249432e+002
2.32273679635706e+003,-1.08526103047330e-002,1.67289855954003e+002
2.32809125766496e+003,-1.08146857186924e-002,1.67260484616388e+002
2.33345806228096e+003,-1.07765913236151e-002,1.67231045076336e+002
2.33883723865931e+003,-1.07383263844761e-002,1.67201537173204e+002
2.34422881531987e+003,-1.06998901634390e-002,1.67171960745955e+002
2.34963282084826e+003,-1.06612819195765e-002,1.67142315633156e+002
2.35504928389596e+003,-1.06225009091153e-002,1.67112601672980e+002
2.36047823318053e+003,-1.05835463852827e-002,1.67082818703201e+002
2.36591969748571e+003,-1.05444175982943e-002,1.67052966561195e+002
2.37137370566161e+003,-1.05051137954545e-002,1.67023045083941e+002
2.37684028662483e+003,-1.04656342210265e-002,1.66993054108013e+002
2.38231946935864e+003,-1.04259781162875e-002,1.66962993469588e+002
2.38781128291313e+003,-1.03861447194913e-002,1.66932863004438e+002
2.39331575640534e+003,-1.03461332658908e-002,1.66902662547931e+002
2.39883291901944e+003,-1.03059429877091e-002,1.66872391935033e+002
2.40436280000688e+003,-1.02655731140904e-002,1.66842051000301e+002
2.40990542868654e+003,-1.02250228712041e-002,1.66811639577886e+002
2.41546083444489e+003,-1.01842914820849e-002,1.66781157501531e+002
2.42102904673613e+003,-1.01433781667777e-002,1.66750604604570e+002
2.42661009508236e+003,-1.01022821421797e-002,1.66719980719926e+002
2.43220400907376e+003,-1.00610026221631e-002,1.66689285680111e+002
2.43781081836870e+003,-1.00195388174558e-002,1.66658519317225e+002
2.44343055269392e+003,-9.97788993569716e-003,1.66627681462952e+002
2.44906324184469e+003,-9.93605518144107e-003,1.66596771948563e+002
2.45470891568498e+003,-9.89403375609909e-003,1.66565790604913e+002
2.46036760414758e+003,-9.85182485795723e-003,1.66534737262439e+002
2.46603933723429e+003,-9.80942768213078e-003,1.66503611751160e+002
2.47172414501608e+003,-9.76684142066110e-003,1.66472413900675e+002
2.47742205763323e+003,-9.72406526233053e-003,1.66441143540164e+002
2.48313310529552e+003,-9.68109839284028e-003,1.66409800498382e+002
2.48885731828234e+003,-9.63793999464849e-003,1.66378384603664e+002
2.49459472694290e+003,-9.59458924707282e-003,1.66346895683921e+002
2.50034536169638e+003,-9.55104532622990e-003,1.66315333566636e+002
2.50610925303206e+003,-9.50730740498055e-003,1.66283698078867e+002
2.51188643150953e+003,-9.46337465305848e-003,1.66251989047245e+002
2.51767692775880e+003,-9.41924623690252e-003,1.66220206297971e+002
2.52348077248052e+003,-9.37492131976121e-003,1.66188349656817e+002
2.52929799644609e+003,-9.33039906159455e-003,1.66156418949123e+002
2.53512863049785e+003,-9.28567861916509e-003,1.66124413999797e+002
2.54097270554925e+003,-9.24075914594738e-003,1.66092334633312e+002
2.54683025258499e+003,-9.19563979215146e-003,1.66060180673708e+002
2.55270130266119e+003,-9.15031970470578e-003,1.66027951944588e+002
2.55858588690559e+003,-9.10479802724489e-003,1.65995648269118e+002
2.56448403651766e+003,-9.05907390017250e-003,1.65963269470026e+002
