Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
61660.83699862152,17.69899399049386,56283.49914127127
61891.30917006395,17.94549668152814,56365.55602367302
62122.64278654013,18.14359118416631,56484.29746462036
62354.84106790755,18.22460506022552,56530.02112065356
62587.90724605868,18.3758508245063,56677.26253895244
62821.84456496597,18.47563571964257,56832.87630554889
63056.65628072699,18.54319886645722,56826.08059633469
63292.34566160976,18.75425279783578,56983.64952694411
63528.91598809823,18.78674220276316,56986.78318815034
63766.37055293796,18.98505449996417,57099.32226969636
64004.71266118192,18.95238871645799,57174.25442821297
64243.94563023651,18.99015051821353,57167.48614151715
64484.07278990775,19.10531047356999,57205.92563482573
64725.09748244759,19.21913824541314,57216.21922472759
64967.02306260046,19.25694318112432,57240.52533637572
65209.85289764994,19.35755851095476,57369.50824296848
65453.59036746565,19.42380016613298,57358.00957875896
65698.23886455029,19.48010298799568,57359.3183621178
65943.80179408683,19.55681206618001,57353.47273255781
66190.28257398595,19.59198237267189,57338.09959829118
66437.68463493358,19.78339064405237,57354.78467020791
66686.01142043866,19.7837877927664,57394.97904998258
66935.26638688109,19.82881038186214,57305.42759385594
67185.4530035598,19.99491596397543,57324.39943175931
67436.57475274106,20.07686116871982,57382.15551312118
67688.63512970693,19.91960448102605,57362.96192076653
67941.63764280398,20.19387393487548,57292.16176637735
68195.585813492,20.12217224053198,57418.97115145932
68450.48317639311,20.18394716910707,57244.28455719811
68706.33327934095,20.21520778598222,57237.26968758518
68963.13968343001,20.29506064648104,57171.06380860787
69220.90596306522,20.40848927933659,57160.86187287959
69479.63570601173,20.42131272610543,57134.17976386126
69739.33251344482,20.5623360666398,57102.70454429408
70000,20.54655770232059,57068.29686011394
