Freq.	V(vout_highq)
8.53159037603182e+004	(-1.07645996705268e+000dB,2.83889658428805e+001°)
8.73031664480328e+004	(-1.10332645434262e+000dB,2.75110652359887e+001°)
8.93367184301922e+004	(-1.12932100917261e+000dB,2.66570705220951e+001°)
9.14176379229746e+004	(-1.15445016220069e+000dB,2.58259350524357e+001°)
9.35470282574392e+004	(-1.17872334438517e+000dB,2.50166590041401e+001°)
9.57260184645272e+004	(-1.20215244582534e+000dB,2.42282873558188e+001°)
9.79557638736888e+004	(-1.22475142320343e+000dB,2.34599078547322e+001°)
1.00237446725454e+005	(-1.24653595139425e+000dB,2.27106489970667e+001°)
1.02572276798272e+005	(-1.26752311507665e+000dB,2.19796780383136e+001°)
1.04961492049954e+005	(-1.28773113646782e+000dB,2.12661990469321e+001°)
1.07406359274050e+005	(-1.30717913559052e+000dB,2.05694510113110e+001°)
1.09908174771524e+005	(-1.32588691977098e+000dB,1.98887060074025e+001°)
1.12468265038069e+005	(-1.34387479934394e+000dB,1.92232674322388e+001°)
1.15087987467431e+005	(-1.36116342680718e+000dB,1.85724683067587e+001°)
1.17768731071117e+005	(-1.37777365692053e+000dB,1.79356696499302e+001°)
1.20511917214871e+005	(-1.39372642547816e+000dB,1.73122589249903e+001°)
1.23319000372296e+005	(-1.40904264470304e+000dB,1.67016485576922e+001°)
1.26191468896038e+005	(-1.42374311341367e+000dB,1.61032745257205e+001°)
1.29130845806930e+005	(-1.43784844029788e+000dB,1.55165950178620e+001°)
1.32138689601519e+005	(-1.45137897879884e+000dB,1.49410891610888e+001°)
1.35216595078396e+005	(-1.46435477227155e+000dB,1.43762558133837e+001°)
1.38366194183787e+005	(-1.47679550820882e+000dB,1.38216124199129e+001°)
1.41589156876827e+005	(-1.48872048046203e+000dB,1.32766939299876e+001°)
1.44887192014997e+005	(-1.50014855849655e+000dB,1.27410517721643e+001°)
1.48262048260183e+005	(-1.51109816282489e+000dB,1.22142528847855e+001°)
1.51715515005836e+005	(-1.52158724585368e+000dB,1.16958787992533e+001°)
1.55249423325738e+005	(-1.53163327746353e+000dB,1.11855247733483e+001°)
1.58865646944855e+005	(-1.54125323471651e+000dB,1.06827989719565e+001°)
1.62566103232819e+005	(-1.55046359515238e+000dB,1.01873216926261e+001°)
1.66352754220533e+005	(-1.55928033319513e+000dB,9.69872463345558e+000°)
1.70227607640474e+005	(-1.56771891924522e+000dB,9.21665020090152e+000°)
1.74192717991215e+005	(-1.57579432108120e+000dB,8.74075085518893e+000°)
1.78250187626748e+005	(-1.58352100723657e+000dB,8.27068849110378e+000°)
1.82402167871181e+005	(-1.59091295205706e+000dB,7.80613385204991e+000°)
1.86650860159397e+005	(-1.59798364217722e+000dB,7.34676597535170e+000°)
1.90998517204286e+005	(-1.60474608418538e+000dB,6.89227166688751e+000°)
1.95447444191161e+005	(-1.61121281327429e+000dB,6.44234500323452e+000°)
1.99999999999999e+005	(-1.61739590269769e+000dB,5.99668685960630e+000°)
2.04658598456150e+005	(-1.62330697387547e+000dB,5.55500446195605e+000°)
2.09425709610179e+005	(-1.62895720700911e+000dB,5.11701096171076e+000°)
2.14303861047520e+005	(-1.63435735208561e+000dB,4.68242503168873e+000°)
2.19295639228636e+005	(-1.63951774016424e+000dB,4.25097048183635e+000°)
2.24403690860391e+005	(-1.64444829485269e+000dB,3.82237589350108e+000°)
2.29630724299375e+005	(-1.64915854389228e+000dB,3.39637427103262e+000°)
2.34979510987905e+005	(-1.65365763078168e+000dB,2.97270270957689e+000°)
2.40452886923481e+005	(-1.65795432637803e+000dB,2.55110207799725e+000°)
2.46053754162475e+005	(-1.66205704042339e+000dB,2.13131671592066e+000°)
2.51785082358832e+005	(-1.66597383295024e+000dB,1.71309414396896e+000°)
2.57649910338625e+005	(-1.66971242552833e+000dB,1.29618478629287e+000°)
2.63651347711280e+005	(-1.67328021231845e+000dB,8.80341704581696e-001°)
2.69792576518329e+005	(-1.67668427090576e+000dB,4.65320342771579e-001°)
2.76076852920575e+005	(-1.67993137288863e+000dB,5.08782817256958e-002°)
2.82507508924549e+005	(-1.68302799420258e+000dB,-3.63224996796350e-001°)
2.89087954149184e+005	(-1.68598032516315e+000dB,-7.77228337519616e-001°)
2.95821677633640e+005	(-1.68879428021375e+000dB,-1.19136913098352e+000°)
3.02712249687240e+005	(-1.69147550736691e+000dB,-1.60588352538245e+000°)
3.09763323782495e+005	(-1.69402939733008e+000dB,-2.02100663144217e+000°)
3.16978638492221e+005	(-1.69646109230863e+000dB,-2.43697272082547e+000°)
3.24362019471784e+005	(-1.69877549447987e+000dB,-2.85401541852693e+000°)
3.31917381487510e+005	(-1.70097727413398e+000dB,-3.27236788968948e+000°)
3.39648730492347e+005	(-1.70307087747815e+000dB,-3.69226302124540e+000°)
3.47560165749873e+005	(-1.70506053410095e+000dB,-4.11393359876163e+000°)
3.55655882007783e+005	(-1.70695026409551e+000dB,-4.53761247884034e+000°)
3.63940171721995e+005	(-1.70874388483915e+000dB,-4.96353275740708e+000°)
3.72417427332571e+005	(-1.71044501742853e+000dB,-5.39192793419433e+000°)
3.81092143592647e+005	(-1.71205709276917e+000dB,-5.82303207370845e+000°)
3.89968919951607e+005	(-1.71358335731758e+000dB,-6.25707996294971e+000°)
3.99052462993774e+005	(-1.71502687847523e+000dB,-6.69430726613493e+000°)
4.08347588933903e+005	(-1.71639054963226e+000dB,-7.13495067665721e+000°)
4.17859226170805e+005	(-1.71767709485897e+000dB,-7.57924806649911e+000°)
4.27592417900444e+005	(-1.71888907324245e+000dB,-8.02743863330118e+000°)
4.37552324789908e+005	(-1.72002888286513e+000dB,-8.47976304527294e+000°)
4.47744227713665e+005	(-1.72109876442120e+000dB,-8.93646358411822e+000°)
4.58173530553552e+005	(-1.72210080446610e+000dB,-9.39778428613644e+000°)
4.68845763063981e+005	(-1.72303693829298e+000dB,-9.86397108164423e+000°)
4.79766583803895e+005	(-1.72390895242916e+000dB,-1.03352719328547e+001°)
4.90941783137003e+005	(-1.72471848674477e+000dB,-1.08119369703354e+001°)
5.00000000000000e+005	(-1.72531775488898e+000dB,-1.11943972602877e+001°)
