Freq.	V(n006)/V(n015)
1.19949930314937e+003	(-4.09840126507676e+001dB,-2.77206470123473e+000°)
1.20226443461741e+003	(-4.09858159653772e+001dB,-2.77841299732462e+000°)
1.20503594037179e+003	(-4.09876279727652e+001dB,-2.78477562339110e+000°)
1.20781383510678e+003	(-4.09894485259293e+001dB,-2.79115258693642e+000°)
1.21059813355048e+003	(-4.09912779549580e+001dB,-2.79754395360812e+000°)
1.21338885046497e+003	(-4.09931161131010e+001dB,-2.80394973095234e+000°)
1.21618600064636e+003	(-4.09949630444060e+001dB,-2.81036994977249e+000°)
1.21898959892486e+003	(-4.09968187931646e+001dB,-2.81680464091020e+000°)
1.22179966016487e+003	(-4.09986835005255e+001dB,-2.82325384719740e+000°)
1.22461619926504e+003	(-4.10005571150874e+001dB,-2.82971758776930e+000°)
1.22743923115840e+003	(-4.10024396818679e+001dB,-2.83619589363136e+000°)
1.23026877081238e+003	(-4.10043312461231e+001dB,-2.84268879584294e+000°)
1.23310483322890e+003	(-4.10062319508808e+001dB,-2.84919633766184e+000°)
1.23594743344450e+003	(-4.10081416470731e+001dB,-2.85571852600401e+000°)
1.23879658653036e+003	(-4.10100605759772e+001dB,-2.86225541644161e+000°)
1.24165230759241e+003	(-4.10119886863213e+001dB,-2.86880702808468e+000°)
1.24451461177138e+003	(-4.10139261230397e+001dB,-2.87537340463522e+000°)
1.24738351424294e+003	(-4.10158728349159e+001dB,-2.88195456519488e+000°)
1.25025903021771e+003	(-4.10178287700741e+001dB,-2.88855052868009e+000°)
1.25314117494141e+003	(-4.10197939750935e+001dB,-2.89516132639271e+000°)
1.25602996369487e+003	(-4.10217689935583e+001dB,-2.90178705275102e+000°)
1.25892541179416e+003	(-4.10237531789587e+001dB,-2.90842765131740e+000°)
1.26182753459066e+003	(-4.10257470763243e+001dB,-2.91508321685113e+000°)
1.26473634747115e+003	(-4.10277504352192e+001dB,-2.92175374300662e+000°)
1.26765186585784e+003	(-4.10297634038001e+001dB,-2.92843927418060e+000°)
1.27057410520854e+003	(-4.10317861314197e+001dB,-2.93513985507102e+000°)
1.27350308101666e+003	(-4.10338184663925e+001dB,-2.94185549173419e+000°)
1.27643880881134e+003	(-4.10358607603357e+001dB,-2.94858625497802e+000°)
1.27938130415752e+003	(-4.10379126594458e+001dB,-2.95533212470812e+000°)
1.28233058265601e+003	(-4.10399745165799e+001dB,-2.96209317201595e+000°)
1.28528665994361e+003	(-4.10420463826404e+001dB,-2.96886942912264e+000°)
1.28824955169313e+003	(-4.10441281049617e+001dB,-2.97566090172630e+000°)
1.29121927361353e+003	(-4.10462197335818e+001dB,-2.98246762176979e+000°)
1.29419584144998e+003	(-4.10483215236060e+001dB,-2.98928964806811e+000°)
1.29717927098395e+003	(-4.10504335270568e+001dB,-2.99612701305032e+000°)
1.30016957803328e+003	(-4.10525555904880e+001dB,-3.00297972210829e+000°)
1.30316677845229e+003	(-4.10546878681702e+001dB,-3.00984782098890e+000°)
1.30617088813183e+003	(-4.10568304122616e+001dB,-3.01673134207766e+000°)
1.30918192299940e+003	(-4.10589831716149e+001dB,-3.02363030407367e+000°)
1.31219989901920e+003	(-4.10611466135877e+001dB,-3.03054479444139e+000°)
1.31522483219223e+003	(-4.10633202729892e+001dB,-3.03747477700662e+000°)
1.31825673855640e+003	(-4.10655043060092e+001dB,-3.04442029788519e+000°)
1.32129563418657e+003	(-4.10676991837846e+001dB,-3.05138144545976e+000°)
1.32434153519466e+003	(-4.10699043335794e+001dB,-3.05835816868237e+000°)
1.32739445772973e+003	(-4.10721202276106e+001dB,-3.06535055616857e+000°)
1.33045441797808e+003	(-4.10743468158241e+001dB,-3.07235862670468e+000°)
1.33352143216332e+003	(-4.10765841530306e+001dB,-3.07938241312444e+000°)
1.33659551654643e+003	(-4.10788322943480e+001dB,-3.08642194829604e+000°)
1.33967668742593e+003	(-4.10810909770995e+001dB,-3.09347722197921e+000°)
1.34276496113786e+003	(-4.10833608924668e+001dB,-3.10054835328048e+000°)
1.34586035405594e+003	(-4.10856417791323e+001dB,-3.10763533225001e+000°)
1.34896288259165e+003	(-4.10879335866692e+001dB,-3.11473817736646e+000°)
1.35207256319427e+003	(-4.10902364780191e+001dB,-3.12185693620207e+000°)
1.35518941235103e+003	(-4.10925505101615e+001dB,-3.12899164191861e+000°)
1.35831344658715e+003	(-4.10948757403907e+001dB,-3.13614232773160e+000°)
1.36144468246594e+003	(-4.10972120107720e+001dB,-3.14330899715698e+000°)
1.36458313658892e+003	(-4.10995599178604e+001dB,-3.15049175777757e+000°)
1.36772882559584e+003	(-4.11019189807937e+001dB,-3.15769056853198e+000°)
1.37088176616484e+003	(-4.11042893651731e+001dB,-3.16490547747821e+000°)
1.37404197501251e+003	(-4.11066713467145e+001dB,-3.17213654814823e+000°)
1.37720946889394e+003	(-4.11090649854162e+001dB,-3.17938381425237e+000°)
1.38038426460288e+003	(-4.11114700137454e+001dB,-3.18664726365901e+000°)
1.38356637897177e+003	(-4.11138867091661e+001dB,-3.19392696026019e+000°)
1.38675582887188e+003	(-4.11163151319212e+001dB,-3.20122293767993e+000°)
1.38995263121334e+003	(-4.11187552325318e+001dB,-3.20853521408963e+000°)
1.39315680294529e+003	(-4.11212071814550e+001dB,-3.21586383857506e+000°)
1.39636836105593e+003	(-4.11236710399527e+001dB,-3.22320884490274e+000°)
1.39958732257261e+003	(-4.11261468696248e+001dB,-3.23057026688792e+000°)
1.40281370456195e+003	(-4.11286347324206e+001dB,-3.23794813838730e+000°)
1.40604752412990e+003	(-4.11311345792942e+001dB,-3.24534247742341e+000°)
1.40928879842186e+003	(-4.11336464721148e+001dB,-3.25275331771757e+000°)
1.41253754462274e+003	(-4.11361706968294e+001dB,-3.26018072510198e+000°)
1.41579377995707e+003	(-4.11387070933270e+001dB,-3.26762470161898e+000°)
1.41905752168908e+003	(-4.11412557245323e+001dB,-3.27508528112278e+000°)
1.42232878712281e+003	(-4.11438168790303e+001dB,-3.28256253002947e+000°)
1.42560759360218e+003	(-4.11463903962191e+001dB,-3.29005645005670e+000°)
1.42889395851109e+003	(-4.11489765664552e+001dB,-3.29756710801517e+000°)
1.43218789927353e+003	(-4.11515750019402e+001dB,-3.30509447242013e+000°)
1.43548943335364e+003	(-4.11541862206389e+001dB,-3.31263864314823e+000°)
1.43879857825583e+003	(-4.11568101752798e+001dB,-3.32019963812110e+000°)
1.44211535152486e+003	(-4.11594468179077e+001dB,-3.32777747498780e+000°)
1.44543977074592e+003	(-4.11620963288746e+001dB,-3.33537220474177e+000°)
1.44877185354475e+003	(-4.11647586604434e+001dB,-3.34298384496276e+000°)
1.45211161758773e+003	(-4.11674338792238e+001dB,-3.35061242991191e+000°)
1.45545908058195e+003	(-4.11701222828108e+001dB,-3.35825802798656e+000°)
1.45881426027534e+003	(-4.11728235934702e+001dB,-3.36592062263722e+000°)
1.46217717445671e+003	(-4.11755382256819e+001dB,-3.37360029961496e+000°)
1.46554784095590e+003	(-4.11782660169869e+001dB,-3.38129705926563e+000°)
1.46892627764385e+003	(-4.11810071523073e+001dB,-3.38901095341153e+000°)
1.47231250243271e+003	(-4.11837614680785e+001dB,-3.39674198190178e+000°)
1.47570653327588e+003	(-4.11865293835962e+001dB,-3.40449023162652e+000°)
1.47910838816819e+003	(-4.11893106186199e+001dB,-3.41225568480413e+000°)
1.48251808514594e+003	(-4.11921055948804e+001dB,-3.42003842889996e+000°)
1.48593564228699e+003	(-4.11949142668028e+001dB,-3.42783848127972e+000°)
1.48936107771090e+003	(-4.11977362340584e+001dB,-3.43565580541126e+000°)
1.49279440957898e+003	(-4.12005723936102e+001dB,-3.44349056092490e+000°)
1.49623565609442e+003	(-4.12034221090725e+001dB,-3.45134267537479e+000°)
1.49968483550236e+003	(-4.12062858075190e+001dB,-3.45921223740555e+000°)
1.50314196609001e+003	(-4.12091634432393e+001dB,-3.46709926389928e+000°)
1.50660706618673e+003	(-4.12120554474651e+001dB,-3.47500384460285e+000°)
1.51008015416413e+003	(-4.12149612977063e+001dB,-3.48292592328650e+000°)
1.51356124843619e+003	(-4.12178814260440e+001dB,-3.49086558976477e+000°)
1.51705036745932e+003	(-4.12208156671119e+001dB,-3.49882284216243e+000°)
1.52054752973248e+003	(-4.12237645768948e+001dB,-3.50679778978071e+000°)
1.52405275379728e+003	(-4.12267277498381e+001dB,-3.51479039352517e+000°)
1.52756605823806e+003	(-4.12297055028699e+001dB,-3.52280072583739e+000°)
1.53108746168201e+003	(-4.12326976701176e+001dB,-3.53082878426404e+000°)
1.53461698279928e+003	(-4.12357044488595e+001dB,-3.53887462266194e+000°)
1.53815464030302e+003	(-4.12387260379504e+001dB,-3.54693829528800e+000°)
1.54170045294954e+003	(-4.12417623933842e+001dB,-3.55501981841719e+000°)
1.54525443953840e+003	(-4.12448135929767e+001dB,-3.56311922727146e+000°)
1.54881661891247e+003	(-4.12478800833890e+001dB,-3.57123661519788e+000°)
1.55238700995807e+003	(-4.12509613305044e+001dB,-3.57937192102671e+000°)
1.55596563160506e+003	(-4.12540576585346e+001dB,-3.58752521861447e+000°)
1.55955250282694e+003	(-4.12571690234673e+001dB,-3.59569652366042e+000°)
1.56314764264094e+003	(-4.12602961243115e+001dB,-3.60388596991157e+000°)
1.56675107010813e+003	(-4.12634380511983e+001dB,-3.61209343528542e+000°)
1.57036280433354e+003	(-4.12665957534291e+001dB,-3.62031909351347e+000°)
1.57398286446620e+003	(-4.12697690655119e+001dB,-3.62856294086307e+000°)
1.57761126969933e+003	(-4.12729576949956e+001dB,-3.63682495277445e+000°)
1.58124803927037e+003	(-4.12761620988507e+001dB,-3.64510522478566e+000°)
1.58489319246110e+003	(-4.12793822352370e+001dB,-3.65340377242020e+000°)
1.58854674859776e+003	(-4.12826180616355e+001dB,-3.66172061082642e+000°)
1.59220872705115e+003	(-4.12858700399977e+001dB,-3.67005583677218e+000°)
1.59587914723672e+003	(-4.12891380033847e+001dB,-3.67840944526076e+000°)
1.59955802861465e+003	(-4.12924220367590e+001dB,-3.68678147191656e+000°)
1.60324539069002e+003	(-4.12957220984099e+001dB,-3.69517193159712e+000°)
1.60694125301286e+003	(-4.12990382734129e+001dB,-3.70358085967483e+000°)
1.61064563517825e+003	(-4.13023710306745e+001dB,-3.71200835449437e+000°)
1.61435855682647e+003	(-4.13057202028282e+001dB,-3.72045441019853e+000°)
1.61808003764305e+003	(-4.13090858773860e+001dB,-3.72891906251347e+000°)
1.62181009735891e+003	(-4.13124680137013e+001dB,-3.73740232590273e+000°)
1.62554875575047e+003	(-4.13158669573712e+001dB,-3.74590427860980e+000°)
1.62929603263970e+003	(-4.13192825398263e+001dB,-3.75442491374750e+000°)
1.63305194789432e+003	(-4.13227151089239e+001dB,-3.76296430999350e+000°)
1.63681652142779e+003	(-4.13261647557156e+001dB,-3.77152250348180e+000°)
1.64058977319952e+003	(-4.13296310510519e+001dB,-3.78009944317318e+000°)
1.64437172321491e+003	(-4.13331148663563e+001dB,-3.78869529539130e+000°)
1.64816239152549e+003	(-4.13366155113701e+001dB,-3.79730996491885e+000°)
1.65196179822900e+003	(-4.13401338622663e+001dB,-3.80594361935010e+000°)
1.65576996346951e+003	(-4.13436694890397e+001dB,-3.81459620667635e+000°)
1.65958690743754e+003	(-4.13472224841957e+001dB,-3.82326776249062e+000°)
1.66341265037015e+003	(-4.13507932048486e+001dB,-3.83195836724840e+000°)
1.66724721255104e+003	(-4.13543813494742e+001dB,-3.84066798961344e+000°)
1.67109061431069e+003	(-4.13579874092661e+001dB,-3.84939673280671e+000°)
1.67494287602642e+003	(-4.13616114808460e+001dB,-3.85814463311052e+000°)
1.67880401812254e+003	(-4.13652535281525e+001dB,-3.86691170395422e+000°)
1.68267406107045e+003	(-4.13689133808782e+001dB,-3.87569793539372e+000°)
1.68655302538872e+003	(-4.13725914023683e+001dB,-3.88450340889646e+000°)
1.69044093164324e+003	(-4.13762875564351e+001dB,-3.89332813728128e+000°)
1.69433780044731e+003	(-4.13800023443125e+001dB,-3.90217222608462e+000°)
1.69824365246172e+003	(-4.13837353277574e+001dB,-3.91103561835893e+000°)
1.70215850839493e+003	(-4.13874870101459e+001dB,-3.91991841999171e+000°)
1.70608238900310e+003	(-4.13912573573762e+001dB,-3.92882064370063e+000°)
1.71001531509027e+003	(-4.13950464704777e+001dB,-3.93774232550465e+000°)
1.71395730750840e+003	(-4.13988544510947e+001dB,-3.94668350142029e+000°)
1.71790838715757e+003	(-4.14026809922195e+001dB,-3.95564413555876e+000°)
1.72186857498598e+003	(-4.14065268775756e+001dB,-3.96462438333119e+000°)
1.72583789199018e+003	(-4.14103915272753e+001dB,-3.97362416044908e+000°)
1.72981635921508e+003	(-4.14142758668783e+001dB,-3.98264364777957e+000°)
1.73380399775412e+003	(-4.14181793155239e+001dB,-3.99168276022637e+000°)
1.73780082874935e+003	(-4.14221023907873e+001dB,-4.00074160674474e+000°)
1.74180687339159e+003	(-4.14260449229942e+001dB,-4.00982017436696e+000°)
1.74582215292048e+003	(-4.14300071565647e+001dB,-4.01891852352856e+000°)
1.74984668862463e+003	(-4.14339889208623e+001dB,-4.02803664042496e+000°)
1.75388050184174e+003	(-4.14379907399500e+001dB,-4.03717463538969e+000°)
1.75792361395867e+003	(-4.14420125838389e+001dB,-4.04633251962701e+000°)
1.76197604641161e+003	(-4.14460544219090e+001dB,-4.05551030385522e+000°)
1.76603782068614e+003	(-4.14501165035234e+001dB,-4.06470804904996e+000°)
1.77010895831740e+003	(-4.14541987987510e+001dB,-4.07392576566829e+000°)
1.77418948089014e+003	(-4.14583012770308e+001dB,-4.08316346366484e+000°)
1.77827941003890e+003	(-4.14624247549754e+001dB,-4.09242130695452e+000°)
1.78237876744807e+003	(-4.14665687818051e+001dB,-4.10169922908560e+000°)
1.78648757485203e+003	(-4.14707333280393e+001dB,-4.11099723959669e+000°)
1.79060585403527e+003	(-4.14749187904581e+001dB,-4.12031542585953e+000°)
1.79473362683250e+003	(-4.14791251413190e+001dB,-4.12965379749467e+000°)
1.79887091512876e+003	(-4.14833526381895e+001dB,-4.13901241633891e+000°)
1.80301774085954e+003	(-4.14876011107798e+001dB,-4.14839126523516e+000°)
1.80717412601090e+003	(-4.14918711050442e+001dB,-4.15779045908325e+000°)
1.81134009261958e+003	(-4.14961625957882e+001dB,-4.16721000729988e+000°)
1.81551566277311e+003	(-4.15004752685733e+001dB,-4.17664986501789e+000°)
1.81970085860996e+003	(-4.15048098182255e+001dB,-4.18611017483223e+000°)
1.82389570231961e+003	(-4.15091663657615e+001dB,-4.19559097283431e+000°)
1.82810021614272e+003	(-4.15135445969380e+001dB,-4.20509221330928e+000°)
1.83231442237119e+003	(-4.15179447768976e+001dB,-4.21461395852007e+000°)
1.83653834334832e+003	(-4.15223674649474e+001dB,-4.22415632626896e+000°)
1.84077200146893e+003	(-4.15268119079948e+001dB,-4.23371918699898e+000°)
1.84501541917945e+003	(-4.15312788125642e+001dB,-4.24330268584519e+000°)
1.84926861897805e+003	(-4.15357681561918e+001dB,-4.25290683040451e+000°)
1.85353162341478e+003	(-4.15402803580174e+001dB,-4.26253171187236e+000°)
1.85780445509167e+003	(-4.15448151020098e+001dB,-4.27217728154115e+000°)
1.86208713666284e+003	(-4.15493729573337e+001dB,-4.28184365898350e+000°)
1.86637969083464e+003	(-4.15539534590368e+001dB,-4.29153076614277e+000°)
1.87068214036577e+003	(-4.15585570301433e+001dB,-4.30123869432602e+000°)
1.87499450806739e+003	(-4.15631842464212e+001dB,-4.31096756460604e+000°)
1.87931681680324e+003	(-4.15678343432389e+001dB,-4.32071723982482e+000°)
1.88364908948977e+003	(-4.15725083464852e+001dB,-4.33048792759554e+000°)
1.88799134909627e+003	(-4.15772057893716e+001dB,-4.34027954729567e+000°)
1.89234361864495e+003	(-4.15819271035978e+001dB,-4.35009219178250e+000°)
1.89670592121112e+003	(-4.15866722718301e+001dB,-4.35992586667087e+000°)
1.90107827992327e+003	(-4.15914412761676e+001dB,-4.36978057698003e+000°)
1.90546071796322e+003	(-4.15962345529885e+001dB,-4.37965641622806e+000°)
1.90985325856621e+003	(-4.16010517825242e+001dB,-4.38955332974368e+000°)
1.91425592502106e+003	(-4.16058940125547e+001dB,-4.39947153107252e+000°)
1.91866874067026e+003	(-4.16107604680773e+001dB,-4.40941087541973e+000°)
1.92309172891013e+003	(-4.16156518968407e+001dB,-4.41937151736800e+000°)
1.92752491319091e+003	(-4.16205678259773e+001dB,-4.42935337025792e+000°)
1.93196831701689e+003	(-4.16255088541311e+001dB,-4.43935655911976e+000°)
1.93642196394658e+003	(-4.16304746604001e+001dB,-4.44938102628710e+000°)
1.94088587759275e+003	(-4.16354658474054e+001dB,-4.45942689752790e+000°)
1.94536008162263e+003	(-4.16404825584711e+001dB,-4.46949420721952e+000°)
1.94984459975802e+003	(-4.16455247826275e+001dB,-4.47958295851109e+000°)
1.95433945577536e+003	(-4.16505928195637e+001dB,-4.48969321651024e+000°)
1.95884467350596e+003	(-4.16556863475467e+001dB,-4.49982492096673e+000°)
1.96336027683602e+003	(-4.16608058230076e+001dB,-4.50997816786530e+000°)
1.96788628970681e+003	(-4.16659515495753e+001dB,-4.52015302253070e+000°)
1.97242273611482e+003	(-4.16711236762575e+001dB,-4.53034951890431e+000°)
1.97696964011183e+003	(-4.16763218807486e+001dB,-4.54056759456303e+000°)
1.98152702580507e+003	(-4.16815467840832e+001dB,-4.55080737860647e+000°)
1.98609491735734e+003	(-4.16867983800403e+001dB,-4.56106887230452e+000°)
1.99067333898715e+003	(-4.16920766619052e+001dB,-4.57135207623295e+000°)
1.99526231496885e+003	(-4.16973817813934e+001dB,-4.58165702292254e+000°)
1.99986186963271e+003	(-4.17027143691085e+001dB,-4.59198384344214e+000°)
2.00447202736513e+003	(-4.17080741031500e+001dB,-4.60233247247915e+000°)
2.00909281260870e+003	(-4.17134612983253e+001dB,-4.61270297546318e+000°)
2.01372424986236e+003	(-4.17188761115555e+001dB,-4.62309538501957e+000°)
2.01836636368153e+003	(-4.17243185400024e+001dB,-4.63350970014559e+000°)
2.02301917867824e+003	(-4.17297889027230e+001dB,-4.64394598643877e+000°)
2.02768271952125e+003	(-4.17352875213600e+001dB,-4.65440431001524e+000°)
2.03235701093619e+003	(-4.17408142343039e+001dB,-4.66488463555662e+000°)
2.03704207770568e+003	(-4.17463692026287e+001dB,-4.67538699463486e+000°)
2.04173794466950e+003	(-4.17519530766235e+001dB,-4.68591152167933e+000°)
2.04644463672464e+003	(-4.17575650444126e+001dB,-4.69645804256030e+000°)
2.05116217882553e+003	(-4.17632065747307e+001dB,-4.70702686423788e+000°)
2.05589059598411e+003	(-4.17688765278767e+001dB,-4.71761774169228e+000°)
2.06062991326997e+003	(-4.17745760524714e+001dB,-4.72823091431646e+000°)
2.06538015581049e+003	(-4.17803046611323e+001dB,-4.73886627377903e+000°)
2.07014134879101e+003	(-4.17860628515928e+001dB,-4.74952392090428e+000°)
2.07491351745487e+003	(-4.17918511258421e+001dB,-4.76020395774268e+000°)
2.07969668710366e+003	(-4.17976686636615e+001dB,-4.77090620216137e+000°)
2.08449088309725e+003	(-4.18035166310543e+001dB,-4.78163089794653e+000°)
2.08929613085400e+003	(-4.18093945386380e+001dB,-4.79237793264596e+000°)
2.09411245585086e+003	(-4.18153032278553e+001dB,-4.80314748047571e+000°)
2.09893988362349e+003	(-4.18212422085665e+001dB,-4.81393942729345e+000°)
2.10377843976644e+003	(-4.18272119922097e+001dB,-4.82475387530080e+000°)
2.10862814993325e+003	(-4.18332124218866e+001dB,-4.83559078102828e+000°)
2.11348903983661e+003	(-4.18392443502052e+001dB,-4.84645032086773e+000°)
2.11836113524846e+003	(-4.18453072855802e+001dB,-4.85733237721817e+000°)
2.12324446200018e+003	(-4.18514017475393e+001dB,-4.86823705302405e+000°)
2.12813904598267e+003	(-4.18575279205116e+001dB,-4.87916437761278e+000°)
2.13304491314654e+003	(-4.18636853094892e+001dB,-4.89011422963792e+000°)
2.13796208950219e+003	(-4.18698754612571e+001dB,-4.90108693834531e+000°)
2.14289060112002e+003	(-4.18760975430209e+001dB,-4.91208230676784e+000°)
2.14783047413050e+003	(-4.18823520847060e+001dB,-4.92310043875741e+000°)
2.15278173472433e+003	(-4.18886385900177e+001dB,-4.93414120929087e+000°)
2.15774440915263e+003	(-4.18949586238871e+001dB,-4.94520495273730e+000°)
2.16271852372698e+003	(-4.19013113490925e+001dB,-4.95629146694984e+000°)
2.16770410481966e+003	(-4.19076969580706e+001dB,-4.96740077863107e+000°)
2.17270117886370e+003	(-4.19141156446085e+001dB,-4.97853291426842e+000°)
2.17770977235312e+003	(-4.19205682992026e+001dB,-4.98968805734700e+000°)
2.18272991184296e+003	(-4.19270544263130e+001dB,-5.00086607822881e+000°)
2.18776162394951e+003	(-4.19335749224975e+001dB,-5.01206716149675e+000°)
2.19280493535041e+003	(-4.19401289415720e+001dB,-5.02329109579249e+000°)
2.19785987278478e+003	(-4.19467177347164e+001dB,-5.03453814578431e+000°)
2.20292646305342e+003	(-4.19533404536179e+001dB,-5.04580809732322e+000°)
2.20800473301886e+003	(-4.19599980046479e+001dB,-5.05710113601292e+000°)
2.21309470960560e+003	(-4.19666909488185e+001dB,-5.06841736901418e+000°)
2.21819641980018e+003	(-4.19734184346721e+001dB,-5.07975657794880e+000°)
2.22330989065136e+003	(-4.19801817331357e+001dB,-5.09111903215513e+000°)
